z,diff_avg,diff_max,diff_max_index,num_0,"num<=0.2, num>0.2"
32.5,0.1522369733130873,0.7943642952324921,18,16,17
32.75,0.37339112148216586,0.8644999485137896,0,16,34
33.0,0.4840356412406355,1.503344481385056,0,12,37
33.25,0.5044669986157339,1.5818562660438868,0,15,33
33.5,0.5068894222573413,1.4770654854286913,0,13,34
33.75,0.47844068300326653,1.3956938293187537,0,12,34
34.0,0.4339792614094803,1.110816297895091,0,12,33
34.25,0.47342306125292954,1.1327813663344297,0,7,37
34.5,0.49795135043262156,1.5487224952196974,0,8,35
34.75,0.48692828606217764,1.8382467122941093,0,10,32
35.0,0.5157014448702694,1.3849383674978801,0,9,32
35.25,0.5431989323202778,1.4017660587307996,0,9,31
35.5,0.4533102135896222,1.4254990597932695,0,10,29
35.75,0.48461726906693636,1.138847211791039,0,8,30
36.0,0.4429603315599202,1.3528198585057158,0,11,26
36.25,0.383401156448335,1.1346210228622589,0,13,23
36.5,0.3477127454347775,1.056781366334407,0,12,23
36.75,0.38565640143606517,1.1000197832881993,0,10,24
